,Amenity,Name,Latitude,Longitude,Id,Addr:City,Addr:Postcode,Addr:Street
1,School,Classic,19.0835527,72.8384747,245668712,N/A,N/A,N/A
2,School,Home for mental deficient childern,19.0436727,72.9256871,246446609,N/A,N/A,N/A
3,School,Apostolic Carmel Convent (Girl's School),19.0550042,72.8262102,347125102,N/A,N/A,N/A
4,School,Mount Mary's Convent High School,19.0462341,72.8225796,347125358,Mumbai,400050,Mount Mary Road
5,School,Learners Academy,19.0554901,72.8253751,347168970,N/A,N/A,N/A
6,School,Modern English School,19.065657,72.9063356,651265089,N/A,N/A,N/A
7,School,Adivasi Ashramshala School,19.0266145,73.1727475,680015051,N/A,N/A,N/A
8,School,Don Bosco Primary School,19.2312257,72.841711,814384677,N/A,N/A,N/A
9,School,Don Bosco High School,19.2303902,72.8418808,814385412,Mumbai,400092,Chandavarkar Lane
10,School,Nandadeep Vidyalay,19.1625315,72.8548539,984985842,N/A,N/A,N/A
11,School,St Sebastian Goan High School,18.9490299,72.8229491,1029434267,N/A,N/A,N/A
12,School,Muncipal Pahadi School,19.1644938,72.8553881,1142182289,N/A,N/A,N/A
13,School,St. Thomas School,19.1670343,72.8498342,1168348915,N/A,N/A,N/A
14,School,St. Thomas School Ground,19.1693345,72.8500761,1168348939,N/A,N/A,N/A
15,School,Shantinagar School,19.209637,73.097137,1199843269,N/A,N/A,N/A
16,School,NL High School,19.192628,72.8474592,1347702333,N/A,N/A,N/A
17,School,Municipal Corporation Liberty Garden School,19.188526,72.8412266,1347723684,N/A,N/A,N/A
18,School,Ajmera Global School,19.2331345,72.8467515,1352290055,N/A,N/A,N/A
19,School,Himalaya High school,19.2174331,72.8529645,1354759161,N/A,N/A,N/A
20,School,Sharda Gyanpeeth International School,19.1930649,72.8548987,1361567957,N/A,N/A,N/A
21,School,St. Joseph High School,19.1904293,72.8569264,1361576661,N/A,N/A,N/A
22,School,St. George High School,19.1893461,72.8563332,1361576666,N/A,N/A,N/A
23,School,Universal High School,19.1885552,72.8505882,1361584423,N/A,N/A,N/A
24,School,IB Patel School,19.1578421,72.8476552,1368753139,N/A,N/A,N/A
25,School,Atharva College of Engineering,19.1977249,72.8270575,1416530124,N/A,N/A,N/A
26,School,Tilak Nagar Vidya Mandir High School,19.2136045,73.0927192,1462083579,N/A,N/A,N/A
27,School,Muncipal School,19.2271718,72.8597251,1496182478,N/A,N/A,N/A
28,School,Shivaji School,19.1044999,72.8509934,1541880069,N/A,N/A,N/A
29,School,khairat primary school,18.9196667,73.3002047,1566937742,N/A,N/A,N/A
30,School,Vidhyamandir School,19.2549733,72.8604849,1646690981,N/A,N/A,Chatrapati Shivaji Road
31,School,DNC High School Ground,19.2089371,73.0882834,1707873858,N/A,N/A,N/A
32,School,G.R.Patil Vidyalaya,19.1873922,73.0925245,1712284110,N/A,N/A,N/A
33,School,Raja Shivaji Vidya Mandir,19.2132365,72.9486036,1822484361,N/A,400606,Raja Shivaji School Road
34,School,TMC Municipal School,19.2287366,72.9477801,1822485925,N/A,N/A,Palm Hill Resort Road
35,School,Sai Lee International School,19.2308036,72.83875,1833267114,N/A,N/A,N/A
36,School,Little Flower High School,19.2172685,72.9615534,1855273113,N/A,N/A,N/A
37,School,Shri Kalgidar Mission High School,19.1098804,72.8656323,2188860671,N/A,N/A,JP Nagar Road
38,School,South Indian School,19.2172432,73.0840956,2206292332,N/A,421202,KOPAR ROAD
39,School,S.H. JONDHALE SCHOOL,19.2180685,73.0838933,2206292871,N/A,421202,N/A
40,School,National Job Development Center,19.0524328,72.904674,2319154356,N/A,N/A,N/A
41,School,Sevadaan Special School,19.0560049,72.9021934,2319171657,N/A,N/A,N/A
42,School,Jawahar Vidya Bhawan,19.0391579,72.8974783,2319214080,"Chembur, Mumbai",400074,TEC Niwas Sthan Road
43,School,St. Sebastian's High School,19.0396904,72.8980845,2319214081,"Chembur, Mumbai",400074,Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road)
44,School,Holy Cross Convent,19.1318859,72.8141999,2398524838,N/A,N/A,Aramnagar 1
45,School,Edubridge Intl. School,18.9600399,72.815365,2457605417,N/A,N/A,N/A
46,School,Padua High School,19.0464086,72.9290015,2567512028,N/A,N/A,N/A
47,School,Z.P. SCHOOL,20.1222018,72.9209326,2572777176,TALASARI,401606,N/A
48,School,Z P School savroli Dongaripada,20.1631711,72.9176477,2683201833,Talasari,401606,Savaroli
49,School,Udhava Z P school,20.0926495,73.015899,2683232456,N/A,N/A,N/A
50,School,Daffodil School,19.0623206,72.924533,2930729183,N/A,N/A,road no 8
51,School,Z.P school 2,20.155414,72.9252526,3019641913,N/A,N/A,N/A
52,School,z.p school MODGAON,20.072309,72.9749473,3026906191,N/A,N/A,N/A
53,School,Azad School,19.0408975,72.9487218,3125232138,Mumbai,400088,M G Ramchandran Marg
54,School,Sana Classes,19.0405291,72.9470838,3125242385,MUMBAI,400088,M G Ramchandran Marg
55,School,Z.P.SCHOOL KODAD,20.1083978,72.9956734,3169860764,N/A,N/A,N/A
56,School,sandesh school,19.1028771,72.9165625,3205774880,N/A,N/A,N/A
57,School,Little Angels' High School,19.0372258,72.8550806,3205780114,Mumbai,N/A,Sulochana Shetty Marg
58,School,Br. Nath Pai Vidyalaya,19.1505995,72.9278371,3207212808,N/A,400 078,Tembhipada Road
59,School,Sushma Patil Vidhyalaya,19.0192762,73.0913965,3217156920,"kamothe, navi mumbai",N/A,N/A
60,School,GYAN KENDRA SCHOOL,20.1891527,72.7527696,3226109079,N/A,N/A,N/A
61,School,Madersa Ayesha Lil-Banat Education Trest,19.0714514,72.9207279,3226171882,Mumbai,400043,N/A
62,School,Janana Sarita School Ground,19.1791851,72.9504583,3234610951,Mulund (West),N/A,Dr Rajendra Prasad Road
